Date,GRA Purchases,PRGT 1/2/,Totals,Totals_bil_SDR,Year,Conversion rate,,Totals_USD,World GDP,World aggregate real GDP (billion USD),,Total_USD/GDP,Percentage,,World nominal GDP,,,Percentages
12/31/1994,25611676952,4599768498,30211445450,30.21,1994,1.45985,,44.1020685,3.91E+13,39072.4,0.00077318,0.001128727,0.112872689,,2.7872E+13,27872,0.001582307,0.158230728
12/31/1993,25196745031,3942792899,29139537930,29.14,1993,1.37356,,40.0255384,3.78E+13,37821.8,0.000770455,0.001058266,0.105826635,,2.5822E+13,25822,0.001550056,0.15500557
12/31/1992,23967172718,3804463796,27771636514,27.77,1992,1.375,,38.18375,3.72E+13,37150.1,0.000747508,0.001027824,0.102782361,,2.5406E+13,25406,0.001502942,0.150294222
12/31/1991,23378573926,3285717796,26664291722,26.66,1991,1.43043,,38.1352638,3.64E+13,36396.6,0.000732486,0.00104777,0.104776995,,2.376E+13,23760,0.00160502,0.160501952
12/31/1990,20731851093,2571911617,23303762710,23.3,1990,1.42266,,33.147978,3.59E+13,35872.8,0.000649517,0.000924042,0.092404212,,2.278E+13,22780,0.001455135,0.145513512
12/31/1989,22315104224,2334886562,24649990786,24.65,1989,1.31416,,32.394044,3.49E+13,34872.6,0.000706859,0.000928925,0.09289254,,2.0194E+13,20194,0.001604142,0.160414202
12/31/1988,24750004884,1773964293,26523969177,26.52,1988,1.3457,,35.687964,3.36E+13,33611,0.000789027,0.001061794,0.106179417,,1.9338E+13,19338,0.001845484,0.184548371
12/31/1987,28751979125,1866342930,30618322055,30.62,1987,1.41866,,43.4393692,3.21E+13,32120.5,0.000953285,0.001352388,0.13523877,,1.7307E+13,17307,0.002509931,0.250993062
12/31/1986,33334905644,2013169931,35348075575,35.35,1986,1.22319,,43.2397665,3.10E+13,30965.1,0.001141608,0.001396403,0.139640326,,1.5205E+13,15205,0.002843786,0.284378602
12/31/1985,35194787249,2470247948,37665035197,37.67,1985,1.09842,,41.3774814,2.99E+13,29934.2,0.001258427,0.001382281,0.138228118,,1.286E+13,12860,0.003217534,0.321753355
12/31/1984,34936772393,2769874900,37706647293,37.71,1984,0.980205,,36.96353055,2.89E+13,28866.3,0.001306368,0.001280508,0.128050809,,1.227E+13,12270,0.003012513,0.301251268
